,cross_val_dict,accuracy_dict,best_estimators
"Random Forest Classifier tuned ['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8097348978704911,0.7862595419847328,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162,
                       min_samples_leaf=11, min_samples_split=9,
                       n_estimators=710, random_state=42)"
"Random Forest Classifier scaled tuned ['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8097348978704911,0.7862595419847328,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162,
                       min_samples_leaf=11, min_samples_split=9,
                       n_estimators=710, random_state=42)"
XGBoost Classifier basic,0.8089019266985368,0.7786259541984732,
"Random Forest Classifier tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8080254961610894,0.7786259541984732,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162,
                       min_samples_leaf=11, min_samples_split=9,
                       n_estimators=710, random_state=42)"
"Random Forest Classifier scaled tuned ['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8080254961610894,0.7786259541984732,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162,
                       min_samples_leaf=11, min_samples_split=9,
                       n_estimators=710, random_state=42)"
LightGBM Classifier basic,0.8072214978994641,0.7862595419847328,
"Random Forest Classifier tuned ['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']",0.8063450673620165,0.7938931297709924,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162,
                       min_samples_leaf=11, min_samples_split=9,
                       n_estimators=710, random_state=42)"
"Random Forest Classifier scaled tuned ['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']",0.8063450673620165,0.7938931297709924,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162,
                       min_samples_leaf=11, min_samples_split=9,
                       n_estimators=710, random_state=42)"
Voting Classifier Hard basic,0.8038316673909895,0.7480916030534351,
"Decision Tree Classifier tuned ['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8029842097638709,0.7938931297709924,"DecisionTreeClassifier(max_depth=52, min_samples_leaf=15, min_samples_split=12,
                       random_state=42)"
