,cross_val_dict,accuracy_dict,feature_importance_values,best_estimators
"Voting Classifier Hard tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp']",0.8268251273344652,0.7786259541984732,,
"Voting Classifier Soft tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8234295415959253,0.8015267175572519,,
"Voting Classifier Hard tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8225806451612904,0.7938931297709924,,
"Voting Classifier Hard tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8191850594227504,0.8015267175572519,,
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch']",0.8173837461973055,0.7786259541984732,,"RandomForestClassifier(max_depth=71, max_features=0.6099966577826209,
                       min_samples_leaf=8, min_samples_split=16,
                       n_estimators=44, random_state=42)"
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp']",0.8165435317977691,0.7862595419847328,,"RandomForestClassifier(max_depth=64, max_features=0.4667628932479799,
                       min_samples_leaf=5, min_samples_split=8, n_estimators=30,
                       random_state=42)"
"SVM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8165218021150225,0.7938931297709924,,"SVC(C=3.745401188473625, probability=True, random_state=42)"
"XGBoost Classifier tuned ['pclass', 'fare_per_person', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded']",0.8157395335361437,0.7709923664122137,,"XGBClassifier(learning_rate=0.38246199126716274, max_depth=64, n_estimators=514,
              random_state=42)"
"LightGBM Classifier tuned ['pclass', 'fare_per_person', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded']",0.8157395335361437,0.7709923664122137,,"LGBMClassifier(learning_rate=0.18182496720710062, max_depth=21,
               n_estimators=170, random_state=42, verbosity=0)"
"Decision Tree Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8157033173982328,0.7709923664122137,,"DecisionTreeClassifier(max_depth=88, min_samples_leaf=12, min_samples_split=7,
                       random_state=42)"
