predictor,cross_val_dict,accuracy_dict,best_estimators,features
Random Forest Classifier tuned,0.8063450673620165,0.7938931297709924,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162, min_samples_leaf=11, min_samples_split=9, n_estimators=710, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
Random Forest Classifier scaled tuned,0.8063450673620165,0.7938931297709924,"RandomForestClassifier(max_depth=52, max_features=0.9507143064099162, min_samples_leaf=11, min_samples_split=9, n_estimators=710, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
Voting Classifier Hard basic,0.8038316673909895,0.7480916030534351,None,None
Decision Tree Classifier tuned,0.8029842097638709,0.7938931297709924,"DecisionTreeClassifier(max_depth=52, min_samples_leaf=15, min_samples_split=12, random_state=42)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Decision Tree Classifier scaled tuned,0.8029842097638709,0.7938931297709924,"DecisionTreeClassifier(max_depth=52, min_samples_leaf=15, min_samples_split=12, random_state=42)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
LightGBM Classifier tuned,0.8004273504273505,0.8015267175572519,"LGBMClassifier(learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, verbosity=0)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
Voting Classifier Soft basic,0.7987324351731131,0.7404580152671756,None,None
LightGBM Classifier scaled tuned,0.7979067072287411,0.7786259541984732,"LGBMClassifier(learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, verbosity=0)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
LightGBM Classifier tuned,0.7961973055193394,0.7633587786259542,"LGBMClassifier(learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, verbosity=0)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Decision Tree Classifier tuned,0.7961973055193394,0.7938931297709924,"DecisionTreeClassifier(max_depth=52, min_samples_leaf=15, min_samples_split=12, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
