predictor,cross_val_dict,accuracy_dict,best_estimators,features
SVM Classifier scaled tuned,0.792778502100536,0.8015267175572519,"SVC(C=3.745401188473625, probability=True, random_state=42)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
LightGBM Classifier scaled tuned,0.791988990294075,0.7709923664122137,"LGBMClassifier(learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, verbosity=0)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
LightGBM Classifier scaled tuned,0.789410401274808,0.7862595419847328,"LGBMClassifier(learning_rate=0.3745401188473625, max_depth=93, n_estimators=280, random_state=42, verbosity=0)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Logistic Regression Classifier scaled tuned,0.7868318122555411,0.7786259541984732,"LogisticRegression(C=1.834347898661638, max_iter=1000, random_state=42)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
XGBoost Classifier tuned,0.786071273359409,0.7862595419847328,"XGBClassifier(colsample_bytree=0.6872700594236812, gamma=4.75357153204958, learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, scale_pos_weight=1.6601864044243653, subsample=0.5779972601681014)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
XGBoost Classifier scaled tuned,0.786071273359409,0.7862595419847328,"XGBClassifier(colsample_bytree=0.6872700594236812, gamma=4.75357153204958, learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, scale_pos_weight=1.6601864044243653, subsample=0.5779972601681014)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
Logistic Regression Classifier tuned,0.7842821961466029,0.7786259541984732,"LogisticRegression(C=1.834347898661638, max_iter=1000, random_state=42)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
XGBoost Classifier tuned,0.7826234970302768,0.7633587786259542,"XGBClassifier(colsample_bytree=0.6872700594236812, gamma=4.75357153204958, learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, scale_pos_weight=1.6601864044243653, subsample=0.5779972601681014)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
XGBoost Classifier scaled tuned,0.7826234970302768,0.7633587786259542,"XGBClassifier(colsample_bytree=0.6872700594236812, gamma=4.75357153204958, learning_rate=0.7319939418114051, max_depth=61, n_estimators=30, random_state=42, scale_pos_weight=1.6601864044243653, subsample=0.5779972601681014)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
Logistic Regression Classifier scaled tuned,0.7749384325655513,0.7786259541984732,"LogisticRegression(C=1.834347898661638, max_iter=1000, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
Logistic Regression Classifier tuned,0.7740837317108504,0.7786259541984732,"LogisticRegression(C=1.834347898661638, max_iter=1000, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
Decision Tree Classifier basic,0.7724322758221064,0.7480916030534351,None,None
KNN Classifier scaled tuned,0.7605895987251919,0.7480916030534351,"KNeighborsClassifier(n_neighbors=7, weights='distance')","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
KNN Classifier scaled tuned,0.7580254961610894,0.7251908396946565,KNeighborsClassifier(n_neighbors=15),"['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
KNN Classifier scaled tuned,0.749558163117485,0.7557251908396947,"KNeighborsClassifier(n_neighbors=7, weights='distance')","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
SVM Classifier tuned,0.7274518325365784,0.7099236641221374,"SVC(C=1.834347898661638, gamma='auto', probability=True, random_state=42)","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
KNN Classifier tuned,0.7249167028828046,0.6641221374045801,"KNeighborsClassifier(n_neighbors=7, weights='distance')","['pclass', 'sibsp', 'parch', 'family_size', 'fare_per_person', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'embarked_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
KNN Classifier tuned,0.72152687237433,0.6793893129770993,"KNeighborsClassifier(n_neighbors=7, weights='distance')","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
SVM Classifier tuned,0.7215196291467478,0.7175572519083969,"SVC(C=1.834347898661638, gamma='auto', probability=True, random_state=42)","['pclass', 'sibsp', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']"
KNN Classifier tuned,0.7181225554106911,0.6717557251908397,"KNeighborsClassifier(n_neighbors=7, weights='distance')","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
SVM Classifier tuned,0.7155801825293351,0.7175572519083969,"SVC(C=1.834347898661638, gamma='auto', probability=True, random_state=42)","['pclass', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'deck_encoded_no_missing', 'multiple_cabins', 'fare', 'fare_per_person_scaled']"
KNN Classifier basic,0.7105244096769521,0.7404580152671756,None,None
Naive Bayes Classifier basic,0.6995002172968275,0.6717557251908397,None,None
SVM Classifier basic,0.6748515138345648,0.6641221374045801,None,None
Random guess,-1.0,0.5343511450381679,None,None
